Scenario,Tolerance,Converged,Iterations,Flow_Error_%,Computation_Time_s,Iterations_per_Second
三闸门串联,严格 (0.001),True,30,0.0,0.9019415378570557,33.26157931619128
三闸门串联,标准 (0.01),True,0,0.0,0.029219627380371094,0.0
三闸门串联,宽松 (0.1),True,0,0.0,0.029180049896240234,0.0
混合结构,严格 (0.001),True,87,0.0,2.5427725315093994,34.21462160768131
混合结构,标准 (0.01),True,9,0.0,0.2911357879638672,30.913410072130976
混合结构,宽松 (0.1),True,1,0.0,0.05792689323425293,17.263138831838592
