Time_s,Water_Depth_m,Flow_Rate_m3s,Volume_m3
0.0,5.048929663608563,5.009244126324793,504.8929663608563
10.0,5.096529069710721,5.01779284692558,509.6529069710721
20.0,5.142727084205653,5.025887435105506,514.2727084205653
30.0,5.187621345241464,5.033282675088195,518.7621345241464
40.0,5.231141302024496,5.0402134955645606,523.1141302024496
50.0,5.273376803159044,5.046455532695471,527.3376803159044
60.0,5.314266701943772,5.052211275629955,531.4266701943773
70.0,5.353885279474136,5.057302377588295,535.3885279474136
80.0,5.392187947766461,5.061878231347655,539.2187947766461
90.0,5.429228035661765,5.065825279485515,542.9228035661765
