Distance_m,Bed_Elevation_m,Water_Depth_m,Water_Surface_Elevation_m,Flow_Rate_m3s
0.0,5.0,1.1624891976059548,6.162489197605955,10.0
50.0,4.9750000000000005,1.1624892270261689,6.137489227026169,9.99999080790305
100.0,4.95,1.16248938392717,6.11248938392717,9.99998121240098
150.0,4.925,1.1624896747402473,6.087489674740247,9.999967626373106
200.0,4.9,1.162490143889567,6.062490143889567,9.999949837230606
250.0,4.875,1.1624908340556521,6.037490834055652,9.999928017751706
300.0,4.8500000000000005,1.162491781395038,6.012491781395038,9.999902812647413
350.0,4.825,1.1624930150783368,5.987493015078337,9.999873492377269
400.0,4.8,1.1624945734037482,5.962494573403748,9.999840409102676
450.0,4.775,1.1624964913060942,5.937496491306095,9.999803605768356
500.0,4.75,1.1624988055065337,5.912498805506534,9.999763046667525
550.0,4.7250000000000005,1.1625015559959135,5.8875015559959145,9.999718650918942
600.0,4.7,1.1625047864757478,5.862504786475748,9.999670397815736
650.0,4.675,1.162508543250803,5.837508543250803,9.999618129422181
700.0,4.65,1.1625128774422546,5.812512877442255,9.9995616579328
750.0,4.625,1.1625178451135936,5.787517845113594,9.999500746945712
800.0,4.6000000000000005,1.1625235077832259,5.762523507783227,9.999435104130296
850.0,4.575,1.1625299331081411,5.737529933108141,9.99936437862369
900.0,4.55,1.1625371956599246,5.712537195659925,9.999288183153515
950.0,4.525,1.1625453775528398,5.687545377552841,9.999206091922206
1000.0,4.5,1.1625545692737012,5.662554569273701,9.99911765295504
1050.0,4.4750000000000005,1.1625648705570897,5.637564870557091,9.999022402169569
1100.0,4.45,1.1625763913183602,5.612576391318361,9.998919878818823
1150.0,4.425,1.1625892526625352,5.587589252662535,9.998809641473192
1200.0,4.4,1.16260358798475,5.56260358798475,9.998691287982648
1250.0,4.375,1.1626195441232599,5.53761954412326,9.9985644757458
1300.0,4.3500000000000005,1.1626372825678128,5.512637282567813,9.998428942766095
1350.0,4.325,1.1626569807048694,5.48765698070487,9.998284528785387
1400.0,4.3,1.1626788330741953,5.462678833074195,9.998131195415638
1450.0,4.275,1.1627030526068955,5.437703052606896,9.997969043692443
1500.0,4.25,1.1627298718131394,5.41272987181314,9.997798327785079
1550.0,4.225,1.162759543880017,5.3877595438800165,9.997619462962964
1600.0,4.2,1.1627923436378735,5.3627923436378735,9.997433025783408
1650.0,4.175,1.1628285683519335,5.3378285683519335,9.997239744312749
1700.0,4.15,1.1628685382961945,5.312868538296195,9.997040476098466
1750.0,4.125,1.162912597069296,5.287912597069296,9.99683617155948
1800.0,4.1,1.1629611116185186,5.262961111618518,9.996627820620127
1850.0,4.075,1.1630144719479658,5.238014471947966,9.996416380691564
1900.0,4.05,1.1630730905012285,5.213073090501228,9.996202684581402
1950.0,4.025,1.1631374012279752,5.1881374012279755,9.995987327617161
2000.0,4.0,1.163207858368136,5.163207858368136,9.99577053422954
2050.0,3.975,1.1632849350168106,5.138284935016811,9.995552005469118
2100.0,3.95,1.1633691215676842,5.113369121567684,9.995330750447764
2150.0,3.9250000000000003,1.1634609241720748,5.088460924172075,9.995104906500488
2200.0,3.9,1.16356086339397,5.06356086339397,9.994871554940016
2250.0,3.875,1.1636694732872197,5.03866947328722,9.994626541589525
2300.0,3.85,1.163787301167588,5.013787301167588,9.994364313773112
2350.0,3.825,1.1639149083972258,4.988914908397226,9.994077788034144
2400.0,3.8000000000000003,1.1640528725392234,4.964052872539224,9.993758265421127
2450.0,3.775,1.1642017912715135,4.939201791271513,9.99339541358206
2500.0,3.75,1.1643622884681057,4.914362288468106,9.992977336968757
2550.0,3.725,1.164535022856659,4.889535022856659,9.992490757947929
2600.0,3.7,1.1647206996390755,4.864720699639076,9.99192133228262
2650.0,3.6750000000000003,1.1649200854102462,4.839920085410246,9.991254122059134
2700.0,3.65,1.1651340266238468,4.815134026623847,9.990474247370773
2750.0,3.625,1.1653634717271815,4.790363471727181,9.98956773455165
2800.0,3.6,1.165609496913312,4.765609496913312,9.98852257327949
2850.0,3.575,1.165873335215306,4.740873335215306,9.98732998731206
2900.0,3.5500000000000003,1.1661564083924838,4.716156408392484,9.98598591321006
2950.0,3.525,1.1664603607265485,4.691460360726548,9.984492668347315
3000.0,3.5,1.166787093461533,4.666787093461533,9.982860774424223
3050.0,3.475,1.1671387981990675,4.642138798199068,9.981110884491164
3100.0,3.45,1.1675179870933985,4.6175179870933984,9.979275738986736
3150.0,3.4250000000000003,1.1679275171881867,4.592927517188187,9.97740205605023
3200.0,3.4,1.1683706057643688,4.568370605764368,9.975552238604799
3250.0,3.375,1.168850833111909,4.543850833111909,9.973805750746873
3300.0,3.35,1.1693721286650796,4.519372128665079,9.972259993123595
3350.0,3.325,1.1699387361389504,4.49493873613895,9.971030505143126
3400.0,3.3000000000000003,1.1705551532303584,4.470555153230359,9.970250276785121
3450.0,3.275,1.1712260412453315,4.446226041245332,9.97006793822217
3500.0,3.25,1.1719561001712768,4.421956100171277,9.97064465542202
3550.0,3.225,1.1727499057610162,4.3977499057610165,9.97214955444504
3600.0,3.2,1.1736117056974922,4.373611705697492,9.974753323780229
3650.0,3.1750000000000003,1.174545172146852,4.349545172146852,9.978620048230626
3700.0,3.15,1.1755531116574298,4.325553111657429,9.983897360926004
3750.0,3.125,1.17663713572077,4.30163713572077,9.990704481422377
3800.0,3.1,1.1777972935772525,4.277797293577253,9.99911809462987
3850.0,3.075,1.1790316754526733,4.254031675452674,10.009158135749159
3900.0,3.0500000000000003,1.1803360050691651,4.230336005069166,10.020771694045475
3950.0,3.025,1.1817032268669505,4.20670322686695,10.033814669436488
4000.0,3.0,1.1831230999671516,4.183123099967151,10.04803708331929
4050.0,2.975,1.1845818545574038,4.159581854557404,10.063073940795821
4100.0,2.95,1.1860619262211087,4.1360619262211085,10.078422136940429
4150.0,2.9250000000000003,1.1875417305724039,4.112541730572405,10.093435552631835
4200.0,2.9,1.1889956101115886,4.0889956101115885,10.107343037215792
4250.0,2.875,1.1903940211380104,4.06539402113801,10.119242785352965
4300.0,2.85,1.1917038041620422,4.041703804162042,10.128074277471718
4350.0,2.825,1.1928886637956022,4.017888663795603,10.132757727970166
4400.0,2.8000000000000003,1.193910250102605,3.9939102501026054,10.1321878339895
4450.0,2.775,1.194729145369703,3.969729145369703,10.125107233314054
4500.0,2.75,1.195305625875561,3.945305625875561,10.110424813226015
4550.0,2.725,1.195602277927138,3.920602277927138,10.087880154542603
4600.0,2.7,1.1955867889843597,3.89558678898436,10.056475033318414
4650.0,2.6750000000000003,1.1952315486182157,3.870231548618216,10.015622723772616
4700.0,2.65,1.1945167853648446,3.8445167853648448,9.966726152632084
4750.0,2.625,1.1934338122974324,3.8184338122974326,9.911736699675686
4800.0,2.6,1.1919870695280639,3.791987069528064,9.850083250624301
4850.0,2.575,1.1901957899235267,3.765195789923527,9.78960186166351
4900.0,2.5500000000000003,1.1880951669361564,3.738095166936157,9.737451928719757
4950.0,2.525,1.1857349188383737,3.710734918838374,9.680056759787728
5000.0,2.5,1.1831764894314185,3.6831764894314185,9.622661590855701
5050.0,2.475,1.1804913494983054,3.6554913494983055,9.659413032980787
5100.0,2.45,1.17775546039045,3.6277554603904503,9.696164475105874
5150.0,2.4250000000000003,1.1750394719456776,3.600039471945678,9.729659448930978
5200.0,2.4,1.172407306532702,3.572407306532702,9.773675982116895
5250.0,2.375,1.1699131090408468,3.5449131090408468,9.821473501734156
5300.0,2.35,1.1675984879321142,3.5175984879321143,9.865537104739559
5350.0,2.325,1.1654922162176868,3.490492216217687,9.906554119410545
5400.0,2.3000000000000003,1.1636113551071485,3.463611355107149,9.942458723980103
5450.0,2.275,1.1619622671483476,3.4369622671483473,9.971664357805295
5500.0,2.25,1.1605427532627886,3.4105427532627886,9.994466312706738
5550.0,2.225,1.1593447923254412,3.3843447923254413,10.011509413703164
5600.0,2.2,1.1583550272081466,3.358355027208147,10.022659304468231
5650.0,2.1750000000000003,1.157554832823059,3.3325548328230594,10.028593375721957
5700.0,2.15,1.1569238624581053,3.306923862458105,10.03016308253356
5750.0,2.125,1.156440662345591,3.2814406623455907,10.02809552535553
5800.0,2.1,1.1560833102994033,3.2560833102994033,10.02312722187942
5850.0,2.075,1.1558304679593308,3.230830467959331,10.01602133419825
5900.0,2.05,1.1556621011314827,3.2056621011314825,10.007433539604962
5950.0,2.025,1.1555597792394676,3.1805597792394673,9.997941311513994
6000.0,2.0,1.1555070434702954,3.1555070434702954,9.988048800871077
6050.0,1.975,1.155489596140765,3.130489596140765,9.978166117959876
6100.0,1.95,1.1554953062558198,3.1054953062558197,9.968609126892135
6150.0,1.925,1.1555141553642228,3.080514155364223,9.959616818641779
6200.0,1.9000000000000001,1.1555381508364375,3.055538150836438,9.951354331494084
6250.0,1.875,1.155561148238784,3.030561148238784,9.94392107851045
6300.0,1.85,1.1555786480150196,3.0055786480150197,9.937362692791012
6350.0,1.825,1.1555875836798861,2.980587583679886,9.931681234144659
6400.0,1.8,1.1555861001084544,2.9555861001084542,9.926844046636425
6450.0,1.7750000000000001,1.1555733335043843,2.9305733335043844,9.922793212858242
6500.0,1.75,1.1555492072041096,2.9055492072041096,9.919453641951023
6550.0,1.725,1.1555142436562584,2.8805142436562585,9.916739816100955
6600.0,1.7,1.1554693961879097,2.8554693961879094,9.914561601908506
6650.0,1.675,1.1554159040114838,2.830415904011484,9.91282900554104
6700.0,1.6500000000000001,1.1553551705708156,2.8053551705708157,9.91145573938101
6750.0,1.625,1.1552886639647637,2.7802886639647637,9.910361861206132
6800.0,1.6,1.1552178387674796,2.7552178387674795,9.909475576714168
6850.0,1.575,1.1551440773464847,2.730144077346485,9.908734285198507
6900.0,1.55,1.1550686482931753,2.7050686482931754,9.908085009658478
6950.0,1.5250000000000001,1.1549926796413865,2.6799926796413867,9.907484347222976
7000.0,1.5,1.1549171445055055,2.6549171445055055,9.906898039027524
7050.0,1.475,1.1548428567075975,2.6298428567075973,9.906300266064841
7100.0,1.45,1.1547704741849176,2.6047704741849174,9.905672765962159
7150.0,1.425,1.1547005081813793,2.5797005081813795,9.905003846545334
7200.0,1.4000000000000001,1.1546333364369263,2.5546333364369262,9.904287359296347
7250.0,1.375,1.1545692188476584,2.5295692188476586,9.90352168511205
7300.0,1.35,1.154508314340584,2.504508314340584,9.902708770791188
7350.0,1.325,1.15445069794807,2.47945069794807,9.901853243642961
7400.0,1.3,1.1543963772995145,2.4543963772995143,9.900961622500553
7450.0,1.2750000000000001,1.1543453079612283,2.4293453079612286,9.900041635135626
7500.0,1.25,1.1542974072394026,2.4042974072394028,9.899101645198611
7550.0,1.225,1.1542525662169882,2.379252566216988,9.898150186708822
7600.0,1.2,1.1542106599257687,2.3542106599257684,9.897195600149198
7650.0,1.175,1.1541715556579257,2.3291715556579256,9.896245761378447
7700.0,1.1500000000000001,1.1541351194995562,2.3041351194995565,9.895307892805729
7750.0,1.125,1.1541012212250585,2.2791012212250585,9.894388445350867
7800.0,1.1,1.154069737728506,2.254069737728506,9.893493039448401
7850.0,1.075,1.1540405551887922,2.229040555188792,9.89262645364203
7900.0,1.05,1.1540135701727325,2.204013570172733,9.891792650004696
7950.0,1.025,1.1539886898771579,2.1789886898771575,9.890994826576744
8000.0,1.0,1.1539658316998915,2.1539658316998915,9.890235488142029
8050.0,0.975,1.1539449223128118,2.1289449223128116,9.889516527874399
8100.0,0.9500000000000001,1.1539258963896857,2.103925896389686,9.888839313609072
8150.0,0.925,1.1539086951193434,2.0789086951193436,9.888204773672925
8200.0,0.9,1.1538932646121296,2.0538932646121295,9.887613478308758
8250.0,0.875,1.1538795542854106,2.0288795542854103,9.8870657137249
8300.0,0.85,1.1538675152926767,2.0038675152926766,9.886561546670604
8350.0,0.8250000000000001,1.1538570990441108,1.9788570990441108,9.886100878189865
8400.0,0.8,1.1538482558489573,1.9538482558489574,9.88568348584207
8450.0,0.775,1.1538409336963658,1.9288409336963657,9.885309054183727
8500.0,0.75,1.1538350771819714,1.9038350771819714,9.884977193706863
8550.0,0.725,1.1538306265870863,1.8788306265870864,9.884687448812313
8600.0,0.7000000000000001,1.15382751709218,1.85382751709218,9.884439295619247
8650.0,0.675,1.1538256781261311,1.8288256781261312,9.884232130574265
8700.0,0.65,1.153825032852512,1.803825032852512,9.884065251102104
8750.0,0.625,1.1538254977895885,1.7788254977895885,9.883937829794169
8800.0,0.6,1.1538269824918554,1.7538269824918555,9.883848883289698
8850.0,0.5750000000000001,1.1538293894554665,1.7288293894554667,9.883797237649505
