Distance_m,Initial_Water_Depth_m,Final_Water_Depth_m,Initial_Flow_Rate_m3s,Final_Flow_Rate_m3s
0.0,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
20.408163265306122,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
40.816326530612244,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
61.224489795918366,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
81.63265306122449,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
102.0408163265306,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
122.44897959183673,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
142.85714285714286,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
163.26530612244898,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
183.6734693877551,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
204.0816326530612,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
224.48979591836735,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
244.89795918367346,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
265.3061224489796,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
285.7142857142857,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
306.1224489795918,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
326.53061224489795,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
346.9387755102041,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
367.3469387755102,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
387.7551020408163,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
408.1632653061224,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
428.57142857142856,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
448.9795918367347,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
469.3877551020408,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
489.7959183673469,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
510.2040816326531,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
530.6122448979592,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
551.0204081632653,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
571.4285714285714,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
591.8367346938776,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
612.2448979591836,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
632.6530612244898,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
653.0612244897959,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
673.469387755102,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
693.8775510204082,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
714.2857142857142,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
734.6938775510204,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
755.1020408163265,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
775.5102040816327,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
795.9183673469388,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
816.3265306122448,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
836.734693877551,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
857.1428571428571,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
877.5510204081633,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
897.9591836734694,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
918.3673469387755,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
938.7755102040816,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
959.1836734693877,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
979.5918367346939,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
1000.0,5.048929663608563,5.429228035661765,5.009244126324793,5.065825279485515
