Distance_m,Bed_Elevation_m,Water_Depth_m,Water_Surface_Elevation_m,Flow_Rate_m3s,Flow_Error_pct
0.0,5.0,1.3945865877349055,6.3945865877349055,10.0,0.0
33.333333333333336,4.983333333333333,1.3941890182555334,6.377522351588867,10.0,0.0
66.66666666666667,4.966666666666667,1.3934317224339874,6.360098389100655,10.0,0.0
100.0,4.95,1.3926574110998133,6.342657411099814,10.0,0.0
133.33333333333334,4.933333333333334,1.3918824471269116,6.325215780460245,10.0,0.0
166.66666666666669,4.916666666666667,1.3911074581444132,6.30777412481108,10.0,0.0
200.0,4.9,1.3903324682038471,6.2903324682038475,10.0,0.0
233.33333333333334,4.883333333333333,1.3895574782267726,6.272890811560106,10.0,0.0
266.6666666666667,4.866666666666667,1.3887824882484954,6.255449154915162,10.0,0.0
300.0,4.8500000000000005,1.388007498270369,6.2380074982703695,10.0,0.0
333.33333333333337,4.833333333333333,1.3872325082924453,6.2205658416257785,10.0,0.0
366.6666666666667,4.816666666666667,1.3864575183147272,6.2031241849813945,10.0,0.0
400.0,4.8,1.3856825283372147,6.185682528337215,10.0,0.0
433.33333333333337,4.783333333333333,1.3849075383599088,6.168240871693242,10.0,0.0
466.6666666666667,4.7666666666666675,1.3841325483828095,6.150799215049477,10.0,0.0
500.00000000000006,4.75,1.383357558405918,6.133357558405918,10.0,0.0
533.3333333333334,4.733333333333333,1.3825825684292343,6.115915901762568,10.0,0.0
566.6666666666667,4.716666666666667,1.3818075784527588,6.098474245119426,10.0,0.0
600.0,4.7,1.3810325884764922,6.081032588476493,10.0,0.0
633.3333333333334,4.683333333333334,1.380257598500435,6.063590931833769,10.0,0.0
666.6666666666667,4.666666666666667,1.3794826085245877,6.0461492751912544,10.0,0.0
700.0,4.65,1.3787076185489509,6.028707618548951,10.0,0.0
733.3333333333334,4.633333333333333,1.377932628573525,6.011265961906858,10.0,0.0
766.6666666666667,4.616666666666667,1.3771576385983102,5.993824305264978,10.0,0.0
800.0,4.6000000000000005,1.3763826486233075,5.976382648623308,10.0,0.0
833.3333333333334,4.583333333333333,1.3756076586485173,5.958940991981851,10.0,0.0
866.6666666666667,4.566666666666667,1.3748326686739403,5.941499335340607,10.0,0.0
900.0000000000001,4.55,1.3740576786995764,5.924057678699576,10.0,0.0
933.3333333333334,4.533333333333333,1.3732826887254266,5.90661602205876,10.0,0.0
966.6666666666667,4.5166666666666675,1.372507698751491,5.8891743654181585,10.0,0.0
1000.0000000000001,4.5,1.3717327087777706,5.87173270877777,10.0,0.0
1033.3333333333335,4.483333333333333,1.3709577188042659,5.854291052137599,10.0,0.0
