Time_s,Average_Depth_m,Average_Flow_m3s,Depth_Error_pct,Flow_Error_pct
0.5,0.9662228538940288,0.8261462252486266,19.806944952770756,-89.67317218439217
1.0,0.9648073506232587,0.8511101633163951,19.631429416413734,-89.36112295854505
1.5,0.9632692468673087,0.873863953313351,19.440712014855606,-89.07670058358312
2.0,0.9616844408682205,0.8947935120685734,19.24420376178709,-88.81508109914283
2.5,0.9600661566932756,0.914017279355385,19.04354437737676,-88.57478400805768
3.0,0.9584181342651361,0.9316213519927561,18.839197593885455,-88.35473310009054
3.5,0.956742663666122,0.9476895536407219,18.63144737040743,-88.15388057949097
4.0,0.955041739355852,0.9623051147678885,18.42054101025658,-87.9711860654014
4.5,0.9533171923571218,0.9755499554234063,18.206705551373922,-87.80562555720742
5.0,0.9515707097403936,0.9875041293242667,17.990150182309687,-87.65619838344666
5.5,0.9498038501198148,0.9982454325197901,17.771068163654423,-87.52193209350261
6.0,0.9480180585159924,1.0078491026101908,17.549638670950934,-87.40188621737262
6.5,0.9462146786432316,1.016387586432489,17.326028318252234,-87.29515516959388
7.0,0.9443949627486744,1.023930368390339,17.100392378126966,-87.20087039512077
7.5,0.942560079654718,1.0305438528137867,16.87287577888027,-87.11820183982766
8.0,0.9407111215418986,1.0362912935204476,16.64361394559846,-87.04635883099441
8.5,0.938849109783991,1.0412327639938235,16.412733523673033,-86.9845904500772
9.0,0.9369750000591668,1.0454251619665045,16.180353012559497,-86.9321854754187
9.5,0.9350896868941116,1.0489222427937586,15.946583329225897,-86.88847196507801
10.0,0.9331940077479854,1.0517746765546705,15.711528314543987,-86.85281654306662
10.5,0.9312887467144741,1.054030124337856,15.475285192325744,-86.8246234457768
11.0,0.9293746379013037,1.055733329685835,15.237944988366673,-86.80333337892706
11.5,0.9274523685408013,1.0569262216939654,14.999592916140308,-86.78842222882544
12.0,0.9255225818701824,1.0576480266813717,14.760308733939857,-86.77939966648285
12.5,0.9235858798590009,1.0579353858460538,14.5201670830687,-86.77580767692432
13.0,0.9216428256230099,1.0578224768646007,14.279237787147547,-86.77721903919249
13.5,0.919693945793366,1.0573411369650523,14.037586145884138,-86.78323578793685
14.0,0.9177397326192162,1.056520986569747,13.795273195783874,-86.79348766787817
14.5,0.9157806460653003,1.055389551459148,13.552355970242393,-86.80763060676064
15.0,0.9138171157401079,1.0539723843393547,13.30888773862756,-86.82534519575806
15.5,0.9118495427113352,1.0522931874525143,13.064918231387376,-86.84633515684357
16.0,0.9098783012152151,1.0503739425206662,12.820493851998616,-86.87032571849167
16.5,0.9079037402700537,1.0482350555504818,12.575657877037521,-86.89706180561897
17.0,0.9059261851954148,1.0458955144067892,12.330450644551254,-86.92630606991514
17.5,0.9039459390337403,1.043373038859152,12.084909730332006,-86.95783701426059
18.0,0.9019632839095014,1.0406841938713252,11.839070116445095,-86.99144757660844
18.5,0.8999784823059096,1.0378444507391298,11.592964349534952,-87.02694436576088
19.0,0.8979917782724287,1.0348682072824036,11.346622690550763,-87.06414740896994
19.5,0.8960033985896252,1.0317687957416228,11.100073259182237,-87.10289005322971
20.0,0.8940135540744834,1.0285585046089323,10.853342195712361,-87.14301869238834
20.5,0.8920224420627161,1.025248627155774,10.606453968811898,-87.18439216055283
21.0,0.8900302544690305,1.0218495430945218,10.359432374973197,-87.22688071131847
21.5,0.8880372051620312,1.0183708571602657,10.112303932865359,-87.27036428549668
22.0,0.8860436071666566,1.0148216645629808,9.865107456061683,-87.31472919296273
22.5,0.8840500433272224,1.0112110594921748,9.617915214428853,-87.35986175634781
23.0,0.882057653413897,1.0075489657555865,9.37086853393664,-87.40563792805517
23.5,0.8800684814009101,1.0038471633515902,9.124220857470432,-87.45191045810512
24.0,0.8780857220478053,1.0001200748690644,8.878368319709958,-87.4984990641367
24.5,0.8761136759292273,0.9963847383242507,8.63384417104113,-87.54519077094687
25.0,0.8741573380456718,0.9926596822044964,8.391267767285454,-87.5917539724438
25.5,0.8722217439851585,0.9889630132132545,8.151263496920457,-87.63796233483431
26.0,0.8703113244985011,0.9853104680471457,7.914380751545276,-87.68361914941067
26.5,0.868429485888271,0.9817141349998266,7.681041896148494,-87.72857331250216
27.0,0.8665784920200287,0.9781821251035012,7.451527639073448,-87.77272343620623
27.5,0.8647595882148298,0.9747190250811069,7.225992394087669,-87.81601218648616
28.0,0.862973246820006,0.9713267486129502,7.004494729968057,-87.85841564233812
28.5,0.8612194266488198,0.968005430213507,6.787029539759041,-87.89993212233117
29.0,0.8594977842367761,0.9647541538755722,6.573554235530013,-87.94057307655535
29.5,0.8578078188355697,0.9615714552144639,6.364006726921158,-87.9803568098192
30.0,0.8561489594751789,0.9584556250959011,6.158316216420643,-88.01930468630124
30.5,0.8545206115577201,0.9554048740118565,5.9564089767763795,-88.0574390748518
31.0,0.852922179260415,0.9524174127068145,5.758211128855303,-88.09478234116483
31.5,0.8513530751716599,0.9494914881755144,5.56364983646916,-88.13135639780607
32.0,0.8498127238729207,0.9466253981593081,5.3726537505121446,-88.16718252300865
32.5,0.8483005629439302,0.9438174960834559,5.185153133600459,-88.20228129895679
33.0,0.8468160429615971,0.9410661920484936,5.001079859937054,-88.23667259939383
33.5,0.8453586271572698,0.9383699522419652,4.820367372813994,-88.27037559697544
34.0,0.8439277909928653,0.9357272977092262,4.6429506320544665,-88.30340877863468
34.5,0.842523021738954,0.9331368028533961,4.468766061697413,-88.33578996433255
35.0,0.8411438180782238,0.9305970938055562,4.297751500828949,-88.36753632743056
35.5,0.8397896897380586,0.9281068467268848,4.129846158023885,-88.39866441591394
