Method,Position (m),Water_Depth (m),Discharge (m^3/s)
EXPLICIT,355.0,0.806483101972499,8.000000122558408
EXPLICIT,360.0,0.806483102201045,8.000000124864641
EXPLICIT,365.0,0.8064831024316365,8.000000127184638
EXPLICIT,370.0,0.8064831026642911,8.000000129518448
EXPLICIT,375.0,0.8064831028990277,8.000000131866107
EXPLICIT,380.0,0.8064831031358648,8.00000013422765
EXPLICIT,385.0,0.8064831033748231,8.000000136603099
EXPLICIT,390.0,0.8064831036159232,8.000000138992455
EXPLICIT,395.0,0.8064831038591875,8.000000141395704
EXPLICIT,400.0,0.8064831041046397,8.000000143812807
EXPLICIT,405.0,0.8064831043523046,8.0000001462437
EXPLICIT,410.0,0.8064831046022091,8.000000148688297
EXPLICIT,415.0,0.8064831048543811,8.000000151146477
EXPLICIT,420.0,0.806483105108851,8.0000001536181
EXPLICIT,425.0,0.8064831053656505,8.000000156102992
EXPLICIT,430.0,0.8064831056248133,8.000000158600953
EXPLICIT,435.0,0.806483105886375,8.000000161111755
EXPLICIT,440.0,0.806483106150373,8.000000163635148
EXPLICIT,445.0,0.8064831064168463,8.000000166170851
EXPLICIT,450.0,0.8064831066858367,8.000000168718568
EXPLICIT,455.0,0.8064831069573863,8.000000171277975
EXPLICIT,460.0,0.8064831072315402,8.000000173848731
EXPLICIT,465.0,0.8064831075083448,8.000000176430481
EXPLICIT,470.0,0.8064831077878478,8.000000179022852
EXPLICIT,475.0,0.8064831080700993,8.000000181625458
EXPLICIT,480.0,0.8064831083551501,8.000000184237905
EXPLICIT,485.0,0.8064831086430534,8.000000186859786
EXPLICIT,490.0,0.8064831089338631,8.00000018949069
EXPLICIT,495.0,0.8064831092276357,8.000000192130198
EXPLICIT,500.0,0.8064831095244276,8.000000194777884
EXPLICIT,505.0,0.8064831098242983,8.000000197433321
EXPLICIT,510.0,0.8064831101273073,8.00000020009608
EXPLICIT,515.0,0.806483110433517,8.000000202765722
EXPLICIT,520.0,0.8064831107429902,8.000000205441815
EXPLICIT,525.0,0.8064831110557916,8.000000208123913
EXPLICIT,530.0,0.8064831113719878,8.000000210811574
