Method,h_mean (m),h_std (m),h_CV (%),h_error (%),Q_mean (m^3/s),Q_std (m^3/s),Q_CV (%),Q_error (%),Speed (step/s),Runtime (s)
EXPLICIT,0.8064831162707409,2.270290697099413e-08,2.815050496776009e-06,7.320273152371908e-06,8.000000201246776,1.3175054358730592e-07,1.6468817534126186e-06,2.5155846961055772e-06,390.3296040614664,3.0743248462677
PREISSMANN,0.8064831343224069,2.230165050697495e-08,2.7652965769349167e-06,5.08195416401094e-06,8.000000551337674,3.7809862607343354e-07,4.726232500199165e-06,6.891720927271194e-06,358.95946101787246,3.3429958820343018
HLL,0.8064831331066354,2.1397601486816274e-08,2.653198883948268e-06,5.2327039280123385e-06,8.00000036968703,2.3775370682867453e-07,2.9719211980233416e-06,4.621087867917595e-06,280.657123224294,4.27567982673645
