Time_s,Upstream_Level_m,Downstream_Level_m
0.0,5.0,5.0
1.0,4.999879633771813,5.0
2.0,4.999638945025654,5.0
3.0,4.999281667851704,5.0
4.0,4.998815224007623,5.0
5.0,4.998250493981446,5.0
6.0,4.9976013620366055,5.0
7.0,4.996884052760148,5.0
8.0,4.996116293953934,5.0
9.0,4.9953163565515535,5.0
10.0,4.994502035119463,5.0
11.0,4.993689641042897,5.0
12.0,4.992893083604284,5.0
13.0,4.9921231111307485,5.0
14.0,4.99138677502012,5.0
15.0,4.990687164128072,5.0
16.0,4.990023436679271,5.0
17.0,4.989391153064482,5.0
18.0,4.98878288755376,5.0
19.0,4.988189072320152,5.0
20.0,4.987599005530314,5.0
21.0,4.98700193877241,5.0
22.0,4.9863881495463,5.0
23.0,4.985749903168165,5.0
24.0,4.985082215771023,5.0
25.0,4.984383345857103,5.0
26.0,4.983654965018189,5.0
27.0,4.98290198717747,5.0
28.0,4.982132067587504,5.0
29.0,4.98135481496852,5.0
30.0,4.9805807895108405,5.0
31.0,4.979820382988892,5.0
32.0,4.979082692305607,5.0
33.0,4.978374502430202,5.0
34.0,4.977699487852316,5.0
35.0,4.977057723399217,5.0
36.0,4.9764455667885334,5.0
37.0,4.975855939004677,5.0
38.0,4.975278987855124,5.0
39.0,4.97470307891736,5.0
40.0,4.974116020835425,5.0
41.0,4.973506402693217,5.0
42.0,4.972864903473298,5.0
43.0,4.972185429865411,5.0
44.0,4.971465950042836,5.0
45.0,4.970708917091183,5.0
46.0,4.969921214623699,5.0
47.0,4.969113605388697,5.0
48.0,4.968299716824856,5.0
49.0,4.967494650196619,5.0
50.0,4.966713346463024,5.0
51.0,4.965968876947306,5.0
52.0,4.965270845558057,5.0
53.0,4.964624088554246,5.0
54.0,4.9640278363413035,5.0
55.0,4.963475460466318,5.0
56.0,4.962954871108613,5.0
57.0,4.9624495613366255,5.0
58.0,4.961940221279766,5.0
59.0,4.961406776132904,5.0
60.0,4.960830644608503,5.0
61.0,4.960196976238761,5.0
62.0,4.95949661224881,5.0
63.0,4.958727528627855,5.0
64.0,4.957895561767209,5.0
65.0,4.957014283904628,5.0
66.0,4.956103982063618,5.0
67.0,4.955189792180982,5.0
68.0,4.954299139780459,5.0
69.0,4.953458728938081,5.0
70.0,4.95269139145634,5.0
71.0,4.952013148381614,5.0
72.0,4.951430838997579,5.0
73.0,4.950940634595745,5.0
74.0,4.950527676592968,5.0
75.0,4.95016696679118,5.0
76.0,4.9498255022673785,5.0
77.0,4.949465502736745,5.0
78.0,4.949048440554709,5.0
79.0,4.9485394692918545,5.0
80.0,4.947911770674871,5.0
81.0,4.94715031269909,5.0
82.0,4.9462545400765325,5.0
83.0,4.945239602490822,5.0
84.0,4.944135861209132,5.0
85.0,4.942986589732373,5.0
86.0,4.941843983672588,5.0
87.0,4.9407637992231965,5.0
88.0,4.939799126047362,5.0
89.0,4.938993945998771,5.0
90.0,4.938377212406441,5.0
91.0,4.937958189043129,5.0
92.0,4.937723704498946,5.0
93.0,4.93763780793967,5.0
94.0,4.937644069114221,5.0
95.0,4.937670472908222,5.0
96.0,4.9376365490371095,5.0
97.0,4.937462087176235,5.0
98.0,4.937076552735693,5.0
99.0,4.936428168930387,5.0
100.0,4.9354915880612635,6.0
101.0,4.934273149351318,6.0
102.0,4.932812911289278,6.0
103.0,4.931182941512943,6.0
104.0,4.929481725184692,6.0
105.0,4.927824982612475,6.0
106.0,4.9263336287510535,6.0
107.0,4.9251200137218465,6.0
108.0,4.924273902462378,6.0
109.0,4.923849831795006,6.0
110.0,4.923857482376232,6.0
111.0,4.924256497418426,6.0
112.0,4.9249567727741,6.0
113.0,4.925824667919481,6.0
114.0,4.926694907496919,6.0
115.0,4.9273872414698845,6.0
116.0,4.9277262980868075,6.0
117.0,4.927562578459588,6.0
118.0,4.926792264418859,6.0
119.0,4.925373475289531,6.0
120.0,4.923336821345734,6.0
121.0,4.920788548955957,6.0
122.0,4.917905228284653,6.0
123.0,4.914919761576209,6.0
124.0,4.912099437327378,6.0
125.0,4.909717750465442,6.0
126.0,4.908022650164944,6.0
127.0,4.907204636838848,6.0
128.0,4.907368566197454,6.0
129.0,4.90851300346069,6.0
130.0,4.91052042788664,6.0
131.0,4.9131605237267255,6.0
132.0,4.916107315907108,6.0
133.0,4.918969214345385,6.0
134.0,4.921329368018906,6.0
135.0,4.922792341115893,6.0
136.0,4.923032189945733,6.0
137.0,4.921836627099423,6.0
138.0,4.919142101681864,6.0
139.0,4.915055235688596,6.0
140.0,4.909857062980044,6.0
141.0,4.90398787683571,6.0
142.0,4.898012200617694,6.0
143.0,4.892565450305075,6.0
144.0,4.888286186819503,6.0
145.0,4.885740207770034,6.0
146.0,4.885344809925311,6.0
147.0,4.887302871028024,6.0
148.0,4.89155645607768,6.0
149.0,4.8977681350751405,6.0
150.0,4.905335122616029,6.0
151.0,4.91343713403211,6.0
152.0,4.921112367131645,6.0
153.0,4.927352576198009,6.0
154.0,4.9312086121594305,6.0
155.0,4.9318968603850655,6.0
156.0,4.928895861493819,6.0
157.0,4.922023474716154,6.0
158.0,4.911486421694896,6.0
159.0,4.897895565069725,6.0
160.0,4.882235964985181,6.0
161.0,4.865683279293879,6.0
162.0,4.849550436879917,6.0
163.0,4.835219621137964,6.0
164.0,4.823995096411879,6.0
165.0,4.816945779636027,6.0
166.0,4.814757839974587,6.0
167.0,4.817619134094112,6.0
168.0,4.8251556528118815,6.0
169.0,4.836434069912883,6.0
170.0,4.848934069912883,6.0
171.0,4.8614340699128835,6.0
172.0,4.872593843597204,6.0
173.0,4.880568669181606,6.0
174.0,4.883717882027599,6.0
175.0,4.880779973446734,6.0
176.0,4.871019498927319,6.0
177.0,4.854336840560653,6.0
178.0,4.831334098093068,6.0
179.0,4.803276974425334,6.0
180.0,4.771810822291531,6.0
181.0,4.73890470821948,6.0
182.0,4.7067698511468254,6.0
183.0,4.677751568844733,6.0
184.0,4.654124814093616,6.0
185.0,4.6378347267754565,6.0
186.0,4.63024349317244,6.0
187.0,4.6319235340444065,6.0
188.0,4.6425357510631855,6.0
189.0,4.655035751063186,6.0
190.0,4.667535751063186,6.0
191.0,4.680035751063186,6.0
192.0,4.692535751063186,6.0
193.0,4.703621409062265,6.0
194.0,4.7111846557964405,6.0
195.0,4.713466115669112,6.0
196.0,4.709227410991113,6.0
197.0,4.697883161476817,6.0
198.0,4.6795927673387805,6.0
199.0,4.65523232571584,6.0
200.0,4.626062384338913,6.0
201.0,4.593704288052587,6.0
202.0,4.560094462907876,6.0
203.0,4.527413021120795,6.0
204.0,4.497981670277959,6.0
205.0,4.474059765307553,6.0
206.0,4.457578375220489,6.0
207.0,4.449883564913924,6.0
208.0,4.451532948280299,6.0
209.0,4.462185966181786,6.0
210.0,4.474685966181786,6.0
211.0,4.487185966181786,6.0
212.0,4.4996859661817865,6.0
213.0,4.512185966181787,6.0
214.0,4.523813307491441,6.0
215.0,4.5325927019948455,6.0
216.0,4.53684128791416,6.0
217.0,4.535308236175124,6.0
218.0,4.527282970077986,6.0
219.0,4.512678614792384,6.0
220.0,4.4920925247455905,6.0
221.0,4.466473160760555,6.0
222.0,4.437120593335362,6.0
223.0,4.405669458691254,6.0
224.0,4.374046672434874,6.0
225.0,4.34438894102434,6.0
226.0,4.318881082835271,6.0
227.0,4.299503880545388,6.0
228.0,4.287778462772309,6.0
229.0,4.2845526664087075,6.0
230.0,4.289872267431359,6.0
231.0,4.302372267431359,6.0
232.0,4.314872267431359,6.0
233.0,4.327372267431359,6.0
234.0,4.3398722674313595,6.0
235.0,4.35237226743136,6.0
236.0,4.363333438846301,6.0
237.0,4.371111605472155,6.0
238.0,4.374323674606904,6.0
239.0,4.371929439817833,6.0
240.0,4.363314146592431,6.0
241.0,4.348380611460924,6.0
242.0,4.327598782265584,6.0
243.0,4.30178708473033,6.0
244.0,4.272157876843148,6.0
245.0,4.240330382540089,6.0
246.0,4.208284788784226,6.0
247.0,4.178245750823863,6.0
248.0,4.152477458299724,6.0
249.0,4.132997792363574,6.0
250.0,4.1213034316971875,6.0
251.0,4.118162846634372,6.0
252.0,4.123523371367923,6.0
253.0,4.136023371367923,6.0
254.0,4.148523371367923,6.0
255.0,4.161023371367923,6.0
256.0,4.173523371367923,6.0
257.0,4.186023371367924,6.0
258.0,4.197930665751938,6.0
259.0,4.2078276707394435,6.0
260.0,4.2143866123421025,6.0
261.0,4.2163980913886,6.0
262.0,4.212843626656563,6.0
263.0,4.203023618073117,6.0
264.0,4.1867244989998404,6.0
265.0,4.1642712034897515,6.0
266.0,4.136483724073925,6.0
267.0,4.104739364813669,6.0
268.0,4.07094712896738,6.0
269.0,4.037415127028968,6.0
270.0,4.006618763408415,6.0
271.0,3.9808688819526385,6.0
272.0,3.9619772248974896,6.0
273.0,3.9510016342770404,6.0
274.0,3.948134439691948,6.0
275.0,3.952757739060374,6.0
276.0,3.9636394127960335,6.0
277.0,3.9761394127960337,6.0
278.0,3.988639412796034,6.0
279.0,4.001139412796034,6.0
280.0,4.013639412796034,6.0
