Method,h_CV_upstream (%),h_CV_downstream (%),Q_CV_upstream (%),Q_CV_downstream (%),Max_CV (%),Converged
EXPLICIT,5.850946857646604e-07,1.3766226731287087e-14,0.0,2.4280649338076156e-07,5.850946857646604e-07,True
PREISSMANN,6.883819952492657e-07,1.3766226731287087e-14,0.0,7.823268782436816e-07,7.823268782436816e-07,True
HLL,5.005323526364488e-07,1.3766226731287087e-14,0.0,4.7416336244651085e-07,5.005323526364488e-07,True
