Time_s,Gate_Flow_m3s,Inlet_h_m,Inlet_Q_m3s,Gate_Up_h_m,Gate_Up_Q_m3s,Gate_Down_h_m,Gate_Down_Q_m3s,Outlet_h_m,Outlet_Q_m3s
288.0,9.652021591430389,1.16248700546276,9.99979011825354,1.1760188760728867,9.785673113367238,1.1656818209766735,9.736772900447978,1.1624342445175184,9.998976160330143
290.0,9.651816251545775,1.1624871037611684,9.999788714866572,1.1760292917135953,9.785469583063705,1.165692803259054,9.73666687731965,1.1624342159330234,9.99898735525671
292.0,9.651612027621756,1.1624872020229065,9.999787345027173,1.1760396466366774,9.785266587924442,1.1657037204309595,9.736560435903288,1.1624341996239618,9.998998902000846
294.0,9.651408973420057,1.1624873002333764,9.999786008939296,1.1760499416214008,9.785064198198214,1.1657145731828886,9.736453649971699,1.1624341956529807,9.99901080040756
296.0,9.651207138460652,1.1624873983780448,9.999784706798728,1.1760601774364359,9.784862480342404,1.1657253622040198,9.736346589672046,1.1624342042396267,9.999023049731134
298.0,9.651006568595623,1.1624874964424485,9.999783438792957,1.176070354840541,9.784661497349568,1.1657360881815657,9.736239321839204,1.1624342268535168,9.999035648948228
300.0,9.650807306444321,1.1624875944122046,9.999782205101052,1.176080474583085,9.784461309017841,1.1657467518002753,9.736131910255356,1.1624342588508236,9.999048602132705
302.0,9.650609391740867,1.1624876922730154,9.999781005893563,1.1760905374044581,9.784261972176475,1.1657573537420411,9.736024415866442,1.162434305856209,9.999061903041106
304.0,9.650412861606643,1.1624877900106783,9.999779841332394,1.1761005440363927,9.78406354087886,1.1657678946855834,9.735916896967383,1.1624343664811068,9.999075551932048
306.0,9.650217750776514,1.1624878876110911,9.999778711570723,1.176110495202232,9.783866066567805,1.165778375306193,9.735809409360455,1.1624344359616439,9.999089553851986
308.0,9.650024091784648,1.1624879850602625,9.999777616752876,1.1761203916171452,9.783669598220444,1.1657887962755178,9.73570200649405,1.162434520719167,9.999103900326336
310.0,9.649831915124194,1.1624880823443156,9.999776557014254,1.1761302339883115,9.783474182475928,1.1657991582613823,9.735594739584775,1.162434619878743,9.999118589789687
312.0,9.649641249380764,1.1624881794494986,9.999775532481241,1.1761400230150778,9.783279863750158,1.165809461927635,9.735487657727033,1.1624347300576576,9.99913362643219
314.0,9.649452121350127,1.1624882763621893,9.999774543271128,1.1761497593890942,9.783086684338624,1.1658197079340173,9.73538080799108,1.1624348527514043,9.999149006833596
316.0,9.649264556143432,1.1624883730689035,9.999773589492033,1.1761594437944334,9.782894684510255,1.165829896936048,9.735274235512382,1.1624349911690843,9.999164724531553
318.0,9.649078577276143,1.1624884695563007,9.99977267124285,1.1761690769076973,9.782703902594074,1.1658400295849267,9.73516798357406,1.162435143920352,9.999180780237902
320.0,9.648894206752564,1.1624885658111923,9.999771788613174,1.1761786593981134,9.78251437505825,1.1658501065274416,9.735062093681906,1.1624353093611774,9.999197176980665
322.0,9.648711465138508,1.162488661820545,9.99977094168326,1.1761881919276225,9.782326136584455,1.1658601284058967,9.734956605634919,1.1624354868366662,9.999213915374064
324.0,9.648530371630041,1.1624887575714888,9.99977013052399,1.1761976751509595,9.78213922013661,1.1658700958580395,9.734851557590371,1.1624356752141627,9.999230993603142
326.0,9.648350944116983,1.162488853051323,9.999769355196824,1.1762071097157292,9.781953657025817,1.1658800095170014,9.734746986125227,1.1624358786227313,9.999248403222593
328.0,9.648173199237288,1.1624889482475211,9.999768615753784,1.1762164962624762,9.781769476971807,1.1658898700112417,9.734642926294196,1.162436097118812,9.999266140387814
330.0,9.647997152434435,1.1624890431477348,9.999767912237434,1.1762258354247528,9.78158670815998,1.1658996779644997,9.73453941168348,1.162436329827084,9.999284205161555
332.0,9.647822818004116,1.1624891377398021,9.999767244680873,1.1762351278291818,9.781405377296949,1.1659094339957492,9.734436474463159,1.162436576302784,9.999302597067443
334.0,9.647650209143698,1.1624892320117488,9.999766613107733,1.1762443740955177,9.781225509662066,1.1659191387191603,9.734334145435643,1.1624368365186148,9.999321314478049
336.0,9.647479337993673,1.1624893259517948,9.99976601753219,1.1762535748367065,9.781047129157589,1.165928792744063,9.734232454082862,1.1624371106675861,9.99934035496108
338.0,9.647310215682438,1.1624894195483568,9.999765457958983,1.176262730658941,9.78087025835562,1.165938396674917,9.734131428610304,1.1624374002155815,9.999359715718942
340.0,9.647142852363858,1.162489512790054,9.99976493438343,1.1762718421617184,9.78069491854418,1.1659479511112827,9.7340310959903,1.1624377017128804,9.999379399046965
342.0,9.646977257252809,1.1624896056657097,9.999764446791474,1.176280909937891,9.780521129770552,1.1659574566477957,9.733931482002607,1.1624380158591123,9.999399402119401
344.0,9.64681343866571,1.162489698164356,9.999763995159716,1.1762899345737226,9.78034891088246,1.1659669138741462,9.733832611272947,1.1624383442336086,9.99941971829383
