Distance_m,Bed_Elevation_m,Water_Depth_m,Water_Surface_Elevation_m,Flow_Rate_m3s,Flow_Error_pct
0.0,1.0,0.8064831753075122,1.8064831753075121,8.0,0.0
5.0,0.995,0.8014775488849479,1.796477548884948,8.0,0.0
10.0,0.99,0.8032870175698504,1.7932870175698503,8.0,0.0
15.0,0.985,0.8046974600876138,1.7896974600876137,8.0,0.0
20.0,0.98,0.8056706975584392,1.785670697558439,8.0,0.0
25.0,0.975,0.8061952153800744,1.7811952153800745,8.0,0.0
30.0,0.97,0.8064076248418641,1.776407624841864,8.0,0.0
35.0,0.965,0.8064694728043216,1.7714694728043217,8.0,0.0
40.0,0.96,0.8064816482705645,1.7664816482705645,8.0,0.0
45.0,0.9550000000000001,0.806483096718583,1.761483096718583,8.0,0.0
50.0,0.9500000000000001,0.8064831753075123,1.7564831753075123,8.0,0.0
55.0,0.9450000000000001,0.8064831753075123,1.7514831753075124,8.0,0.0
60.0,0.9400000000000001,0.8064831753075122,1.7464831753075123,8.0,0.0
65.0,0.935,0.8064831753075122,1.7414831753075122,8.0,0.0
70.0,0.93,0.8064831753075122,1.7364831753075123,8.0,0.0
75.0,0.925,0.8064831753075122,1.7314831753075124,8.0,0.0
80.0,0.92,0.8064831753075122,1.7264831753075123,8.0,0.0
85.0,0.915,0.8064831753075122,1.7214831753075122,8.0,0.0
90.0,0.91,0.8064831753075122,1.7164831753075123,8.0,0.0
95.0,0.905,0.8064831753075122,1.7114831753075124,8.0,0.0
100.0,0.9,0.8064831753075122,1.7064831753075123,8.0,0.0
105.0,0.895,0.8064831753075122,1.7014831753075121,8.0,0.0
110.0,0.89,0.8064831753075122,1.6964831753075122,8.0,0.0
115.0,0.885,0.8064831753075122,1.6914831753075124,8.0,0.0
120.0,0.88,0.8064831753075122,1.6864831753075122,8.0,0.0
125.0,0.875,0.8064831753075122,1.6814831753075121,8.0,0.0
130.0,0.87,0.8064831753075122,1.6764831753075122,8.0,0.0
135.0,0.865,0.8064831753075122,1.6714831753075123,8.0,0.0
140.0,0.86,0.8064831753075122,1.6664831753075122,8.0,0.0
145.0,0.855,0.8064831753075122,1.661483175307512,8.0,0.0
150.0,0.85,0.8064831753075122,1.6564831753075122,8.0,0.0
155.0,0.845,0.8064831753075122,1.6514831753075123,8.0,0.0
160.0,0.84,0.8064831753075122,1.6464831753075122,8.0,0.0
165.0,0.835,0.8064831753075122,1.641483175307512,8.0,0.0
170.0,0.8300000000000001,0.8064831753075122,1.6364831753075122,8.0,0.0
175.0,0.8250000000000001,0.8064831753075122,1.6314831753075123,8.0,0.0
180.0,0.8200000000000001,0.8064831753075122,1.6264831753075124,8.0,0.0
185.0,0.8150000000000001,0.8064831753075122,1.6214831753075123,8.0,0.0
190.0,0.81,0.8064831753075122,1.6164831753075122,8.0,0.0
195.0,0.805,0.8064831753075122,1.6114831753075123,8.0,0.0
200.0,0.8,0.8064831753075122,1.6064831753075124,8.0,0.0
205.0,0.795,0.8064831753075122,1.6014831753075123,8.0,0.0
210.0,0.79,0.8064831753075122,1.5964831753075122,8.0,0.0
215.0,0.785,0.8064831753075122,1.5914831753075123,8.0,0.0
220.0,0.78,0.8064831753075122,1.5864831753075124,8.0,0.0
225.0,0.775,0.8064831753075122,1.5814831753075123,8.0,0.0
230.0,0.77,0.8064831753075122,1.5764831753075121,8.0,0.0
235.0,0.765,0.8064831753075122,1.5714831753075122,8.0,0.0
240.0,0.76,0.8064831753075122,1.5664831753075124,8.0,0.0
245.0,0.755,0.8064831753075122,1.5614831753075122,8.0,0.0
250.0,0.75,0.8064831753075122,1.5564831753075121,8.0,0.0
255.0,0.745,0.8064831753075122,1.5514831753075122,8.0,0.0
260.0,0.74,0.8064831753075122,1.5464831753075123,8.0,0.0
265.0,0.735,0.8064831753075122,1.5414831753075122,8.0,0.0
270.0,0.73,0.8064831753075122,1.536483175307512,8.0,0.0
275.0,0.725,0.8064831753075122,1.5314831753075122,8.0,0.0
280.0,0.72,0.8064831753075122,1.5264831753075123,8.0,0.0
285.0,0.715,0.8064831753075122,1.5214831753075122,8.0,0.0
290.0,0.71,0.8064831753075122,1.516483175307512,8.0,0.0
295.0,0.705,0.8064831753075122,1.5114831753075122,8.0,0.0
300.0,0.7000000000000001,0.8064831753075122,1.5064831753075123,8.0,0.0
305.0,0.6950000000000001,0.8064831753075122,1.5014831753075124,8.0,0.0
310.0,0.6900000000000001,0.8064831753075122,1.4964831753075123,8.0,0.0
315.0,0.685,0.8064831753075122,1.4914831753075122,8.0,0.0
320.0,0.68,0.8064831753075122,1.4864831753075123,8.0,0.0
325.0,0.675,0.8064831753075122,1.4814831753075124,8.0,0.0
330.0,0.67,0.8064831753075122,1.4764831753075123,8.0,0.0
335.0,0.665,0.8064831753075122,1.4714831753075122,8.0,0.0
340.0,0.66,0.8064831753075122,1.4664831753075123,8.0,0.0
345.0,0.655,0.8064831753075122,1.4614831753075124,8.0,0.0
350.0,0.65,0.8064831753075122,1.4564831753075123,8.0,0.0
355.0,0.645,0.8064831753075122,1.4514831753075121,8.0,0.0
360.0,0.64,0.8064831753075122,1.4464831753075122,8.0,0.0
365.0,0.635,0.8064831753075122,1.4414831753075124,8.0,0.0
370.0,0.63,0.8064831753075122,1.4364831753075122,8.0,0.0
375.0,0.625,0.8064831753075122,1.4314831753075121,8.0,0.0
380.0,0.62,0.8064831753075122,1.4264831753075122,8.0,0.0
385.0,0.615,0.8064831753075122,1.4214831753075123,8.0,0.0
390.0,0.61,0.8064831753075122,1.4164831753075122,8.0,0.0
