Method,Position (m),Water_Depth (m),Discharge (m³/s)
EXPLICIT,405.0,0.806483131917334,8.000000451543219
EXPLICIT,410.0,0.8064831323524246,8.000000459140384
EXPLICIT,415.0,0.8064831327878914,8.00000046678092
EXPLICIT,420.0,0.8064831332236965,8.000000474464303
EXPLICIT,425.0,0.8064831336598018,8.000000482189993
EXPLICIT,430.0,0.8064831340961689,8.000000489957444
EXPLICIT,435.0,0.8064831345327592,8.000000497766093
EXPLICIT,440.0,0.8064831349695336,8.000000505615375
EXPLICIT,445.0,0.8064831354064532,8.000000513504705
EXPLICIT,450.0,0.8064831358434783,8.000000521433492
EXPLICIT,455.0,0.8064831362805693,8.000000529401131
EXPLICIT,460.0,0.8064831367176867,8.000000537407008
EXPLICIT,465.0,0.80648313715479,8.000000545450499
EXPLICIT,470.0,0.8064831375918393,8.000000553530967
EXPLICIT,475.0,0.8064831380287939,8.000000561647767
EXPLICIT,480.0,0.8064831384656133,8.000000569800235
EXPLICIT,485.0,0.8064831389022564,8.000000577987706
EXPLICIT,490.0,0.8064831393386823,8.000000586209499
EXPLICIT,495.0,0.8064831397748498,8.000000594464922
EXPLICIT,500.0,0.8064831402107171,8.000000602753273
EXPLICIT,505.0,0.8064831406462428,8.000000611073839
EXPLICIT,510.0,0.8064831410813851,8.000000619425892
EXPLICIT,515.0,0.8064831415161018,8.0000006278087
EXPLICIT,520.0,0.8064831419503511,8.000000636221515
EXPLICIT,525.0,0.8064831423840904,8.00000064466358
EXPLICIT,530.0,0.8064831428172773,8.000000653134126
EXPLICIT,535.0,0.8064831432498694,8.000000661632374
EXPLICIT,540.0,0.8064831436818238,8.000000670157537
EXPLICIT,545.0,0.8064831441130977,8.00000067870881
EXPLICIT,550.0,0.8064831445436483,8.000000687285388
EXPLICIT,555.0,0.8064831449734322,8.000000695886452
EXPLICIT,560.0,0.8064831454024067,8.000000704511175
EXPLICIT,565.0,0.8064831458305284,8.000000713158716
EXPLICIT,570.0,0.8064831462577543,8.000000721828233
EXPLICIT,575.0,0.806483146684041,8.00000073051887
EXPLICIT,580.0,0.8064831471093452,8.000000739229773
EXPLICIT,585.0,0.8064831475336243,8.000000747960069
EXPLICIT,590.0,0.8064831479568346,8.000000756708884
EXPLICIT,595.0,0.8064831483789333,8.000000765475338
EXPLICIT,600.0,0.8064831487998774,8.000000774258542
EXPLICIT,605.0,0.8064831492196238,8.000000783057603
EXPLICIT,610.0,0.8064831496381302,8.000000791871619
EXPLICIT,615.0,0.8064831500553533,8.000000800699684
EXPLICIT,620.0,0.8064831504712507,8.000000809540882
EXPLICIT,625.0,0.8064831508857797,8.000000818394287
EXPLICIT,630.0,0.8064831512988977,8.000000827258965
EXPLICIT,635.0,0.8064831517105617,8.000000836133973
EXPLICIT,640.0,0.806483152120729,8.00000084501835
EXPLICIT,645.0,0.8064831525293563,8.000000853911121
EXPLICIT,650.0,0.8064831529364004,8.000000862811298
EXPLICIT,655.0,0.8064831533418171,8.00000087171787
EXPLICIT,660.0,0.8064831537455623,8.000000880629809
EXPLICIT,665.0,0.8064831541475912,8.00000088954606
EXPLICIT,670.0,0.8064831545478581,8.000000898465547
EXPLICIT,675.0,0.8064831549463165,8.000000907387165
EXPLICIT,680.0,0.8064831553429196,8.000000916309778
EXPLICIT,685.0,0.8064831557376195,8.000000925232229
EXPLICIT,690.0,0.8064831561303678,8.000000934153324
EXPLICIT,695.0,0.806483156521115,8.000000943071846
EXPLICIT,700.0,0.806483156909812,8.000000951986554
EXPLICIT,705.0,0.8064831572964086,8.000000960896175
EXPLICIT,710.0,0.8064831576808553,8.00000096979942
EXPLICIT,715.0,0.806483158063103,8.00000097869499
EXPLICIT,720.0,0.8064831584431031,8.00000098758157
EXPLICIT,725.0,0.8064831588208092,8.000000996457851
EXPLICIT,730.0,0.8064831591961761,8.000001005322531
EXPLICIT,735.0,0.8064831595691618,8.00000101417433
EXPLICIT,740.0,0.8064831599397274,8.000001023012002
EXPLICIT,745.0,0.8064831603078376,8.000001031834351
EXPLICIT,750.0,0.8064831606734617,8.000001040640251
EXPLICIT,755.0,0.8064831610365742,8.000001049428656
EXPLICIT,760.0,0.8064831613971544,8.00000105819862
EXPLICIT,765.0,0.8064831617551866,8.000001066949329
EXPLICIT,770.0,0.8064831621106616,8.000001075680105
EXPLICIT,775.0,0.8064831624635742,8.000001084390437
EXPLICIT,780.0,0.8064831628139242,8.000001093080002
EXPLICIT,785.0,0.8064831631617146,8.00000110174867
EXPLICIT,790.0,0.8064831635069512,8.000001110396532
EXPLICIT,795.0,0.8064831638496399,8.000001119023906
EXPLICIT,800.0,0.806483164189786,8.000001127631336
EXPLICIT,805.0,0.8064831645273912,8.000001136219595
EXPLICIT,810.0,0.8064831648624515,8.000001144789664
EXPLICIT,815.0,0.8064831651949547,8.00000115334272
EXPLICIT,820.0,0.8064831655248773,8.000001161880089
EXPLICIT,825.0,0.8064831658521826,8.000001170403186
EXPLICIT,830.0,0.8064831661768181,8.000001178913452
EXPLICIT,835.0,0.8064831664987132,8.000001187412266
EXPLICIT,840.0,0.8064831668177783,8.000001195900829
EXPLICIT,845.0,0.8064831671339039,8.000001204380032
EXPLICIT,850.0,0.8064831674469614,8.000001212850314
EXPLICIT,855.0,0.8064831677568038,8.000001221311493
EXPLICIT,860.0,0.8064831680632696,8.000001229762585
EXPLICIT,865.0,0.8064831683661857,8.000001238201591
EXPLICIT,870.0,0.8064831686653741,8.00000124662531
EXPLICIT,875.0,0.8064831689606562,8.000001255029064
EXPLICIT,880.0,0.8064831692518638,8.000001263406439
EXPLICIT,885.0,0.8064831695388421,8.00000127174906
EXPLICIT,890.0,0.8064831698214587,8.000001280046229
EXPLICIT,895.0,0.8064831700996131,8.000001288284476
EXPLICIT,900.0,0.8064831703732478,8.000001296447442
EXPLICIT,905.0,0.8064831706423281,8.000001304515681
EXPLICIT,910.0,0.8064831709068934,8.000001312465821
EXPLICIT,915.0,0.8064831711670559,8.00000132027117
EXPLICIT,920.0,0.8064831714229928,8.000001327902918
EXPLICIT,925.0,0.8064831716749173,8.00000133532939
EXPLICIT,930.0,0.8064831719234435,8.000001342516413
EXPLICIT,935.0,0.8064831721691222,8.000001349435257
EXPLICIT,940.0,0.8064831724126721,8.000001356059808
EXPLICIT,945.0,0.8064831726552677,8.000001362363836
EXPLICIT,950.0,0.8064831728992179,8.000001368331606
EXPLICIT,955.0,0.8064831731440102,8.000001373970319
EXPLICIT,960.0,0.8064831733922855,8.00000137926028
EXPLICIT,965.0,0.8064831736463439,8.000001384182097
EXPLICIT,970.0,0.8064831739059043,8.000001388725535
EXPLICIT,975.0,0.8064831741586681,8.000001392884533
EXPLICIT,980.0,0.8064831744238449,8.000001396440618
EXPLICIT,985.0,0.8064831746765664,8.000001399272278
EXPLICIT,990.0,0.8064831748982857,8.000001401339667
EXPLICIT,995.0,0.806483175077092,8.000001402676428
EXPLICIT,1000.0,0.8064831753075122,8.00000140329131
PREISSMANN,0.0,0.8064831154001978,8.0
PREISSMANN,5.0,0.8064831154455226,8.000000013671823
PREISSMANN,10.0,0.8064831155319294,8.000000023106029
PREISSMANN,15.0,0.8064831156723888,8.00000003415128
PREISSMANN,20.0,0.8064831158764763,8.000000045966583
PREISSMANN,25.0,0.8064831161484929,8.000000057417878
PREISSMANN,30.0,0.8064831164852628,8.000000067124892
PREISSMANN,35.0,0.806483116882103,8.000000076571933
PREISSMANN,40.0,0.8064831173316502,8.000000085145018
PREISSMANN,45.0,0.8064831178241929,8.000000093017768
PREISSMANN,50.0,0.8064831183496788,8.00000010048219
PREISSMANN,55.0,0.8064831188988206,8.000000107796351
PREISSMANN,60.0,0.8064831194633576,8.000000114973439
PREISSMANN,65.0,0.8064831200358227,8.000000122229912
PREISSMANN,70.0,0.8064831206110467,8.000000129675321
PREISSMANN,75.0,0.806483121185158,8.000000137371124
PREISSMANN,80.0,0.8064831217556001,8.000000145354406
PREISSMANN,85.0,0.8064831223210878,8.000000153651058
PREISSMANN,90.0,0.806483122881392,8.000000162249808
PREISSMANN,95.0,0.8064831234368832,8.00000017113024
PREISSMANN,100.0,0.8064831239884366,8.00000018026425
PREISSMANN,105.0,0.8064831245371933,8.000000189618401
PREISSMANN,110.0,0.8064831250843607,8.000000199157835
PREISSMANN,115.0,0.8064831256310852,8.00000020885174
PREISSMANN,120.0,0.8064831261783874,8.000000218673227
PREISSMANN,125.0,0.8064831267270893,8.000000228600667
PREISSMANN,130.0,0.8064831272777973,8.000000238618183
PREISSMANN,135.0,0.8064831278309097,8.00000024871532
PREISSMANN,140.0,0.8064831283866352,8.000000258886207
PREISSMANN,145.0,0.8064831289450213,8.00000026912883
PREISSMANN,150.0,0.8064831295059929,8.000000279444057
PREISSMANN,155.0,0.8064831300693865,8.000000289834691
PREISSMANN,160.0,0.8064831306349849,8.000000300304643
PREISSMANN,165.0,0.8064831312025444,8.000000310858248
PREISSMANN,170.0,0.8064831317718182,8.000000321499721
PREISSMANN,175.0,0.8064831323425726,8.000000332232775
PREISSMANN,180.0,0.8064831329145983,8.000000343060393
PREISSMANN,185.0,0.8064831334877152,8.00000035398472
PREISSMANN,190.0,0.8064831340617741,8.00000036500705
PREISSMANN,195.0,0.8064831346366552,8.000000376127877
PREISSMANN,200.0,0.8064831352122641,8.000000387347026
PREISSMANN,205.0,0.8064831357885273,8.00000039866376
PREISSMANN,210.0,0.8064831363653857,8.000000410076934
PREISSMANN,215.0,0.806483136942791,8.000000421585122
PREISSMANN,220.0,0.8064831375206991,8.000000433186722
