Distance_m,Bed_Elevation_m,Water_Depth_m,Water_Surface_Elevation_m,Flow_Rate_m3s,Flow_Error_pct
0.0,5.0,1.39111874751949,6.39111874751949,10.0,0.0
50.0,4.9750000000000005,1.3929980435086071,6.367998043508607,10.0,0.0
100.0,4.95,1.392573264399231,6.342573264399231,10.0,0.0
150.0,4.925,1.3914929421465134,6.316492942146513,10.0,0.0
200.0,4.9,1.3903366436460831,6.290336643646084,10.0,0.0
250.0,4.875,1.3891744841391664,6.264174484139167,10.0,0.0
300.0,4.8500000000000005,1.3880120151470083,6.238012015147008,10.0,0.0
350.0,4.825,1.3868495348262326,6.211849534826233,10.0,0.0
400.0,4.8,1.385687054234188,6.1856870542341875,10.0,0.0
450.0,4.775,1.3845245736511087,6.159524573651109,10.0,0.0
500.0,4.75,1.3833620930817008,6.1333620930817006,10.0,0.0
550.0,4.7250000000000005,1.3821996125260654,6.107199612526066,10.0,0.0
600.0,4.7,1.381037131984262,6.081037131984262,10.0,0.0
650.0,4.675,1.3798746514563487,6.054874651456348,10.0,0.0
700.0,4.65,1.3787121709423829,6.028712170942383,10.0,0.0
750.0,4.625,1.377549690442423,6.002549690442423,10.0,0.0
800.0,4.6000000000000005,1.3763872099565293,5.976387209956529,10.0,0.0
850.0,4.575,1.37522472948476,5.95022472948476,10.0,0.0
900.0,4.55,1.3740622490271759,5.924062249027176,10.0,0.0
950.0,4.525,1.3728997685838364,5.897899768583837,10.0,0.0
1000.0,4.5,1.3717372881548011,5.871737288154801,10.0,0.0
1050.0,4.4750000000000005,1.3705748077401312,5.845574807740132,10.0,0.0
1100.0,4.45,1.3694123273398877,5.819412327339888,10.0,0.0
1150.0,4.425,1.368249846954131,5.793249846954131,10.0,0.0
1200.0,4.4,1.3670873665829242,5.767087366582924,10.0,0.0
1250.0,4.375,1.3659248862263271,5.740924886226328,10.0,0.0
1300.0,4.3500000000000005,1.3647624058844032,5.714762405884404,10.0,0.0
1350.0,4.325,1.363599925557215,5.688599925557215,10.0,0.0
1400.0,4.3,1.3624374452448256,5.662437445244826,10.0,0.0
1450.0,4.275,1.361274964947297,5.636274964947297,10.0,0.0
1500.0,4.25,1.3601124846646937,5.610112484664693,10.0,0.0
1550.0,4.225,1.3589500043970792,5.583950004397079,10.0,0.0
1600.0,4.2,1.357787524144518,5.557787524144518,10.0,0.0
1650.0,4.175,1.356625043907075,5.531625043907075,10.0,0.0
1700.0,4.15,1.3554625636848134,5.505462563684814,10.0,0.0
1750.0,4.125,1.3543000834778,5.4793000834778,10.0,0.0
1800.0,4.1,1.3531376032860996,5.453137603286099,10.0,0.0
1850.0,4.075,1.3519751231097787,5.426975123109779,10.0,0.0
