Distance_m,Water_Depth_m,Flow_Rate_m3s
0.0,1.162485092259974,10.0
33.333333333333336,1.162485092410332,10.000000081185814
66.66666666666667,1.162485092767364,10.000000140445028
100.0,1.1624850933719606,10.000000211850963
133.33333333333334,1.162485094278378,10.00000029073012
166.66666666666669,1.162485095519686,10.000000370362866
200.0,1.1624850970955787,10.000000442227151
233.33333333333334,1.162485098985241,10.000000514199357
266.6666666666667,1.1624851011536643,10.000000582425358
300.0,1.1624851035412598,10.000000647778396
333.33333333333337,1.1624851060717774,10.00000071221244
366.6666666666667,1.162485108656171,10.000000777937874
400.0,1.162485111194627,10.000000846163843
433.33333333333337,1.1624851135772836,10.00000091947971
466.6666666666667,1.1624851156926297,10.000001000011704
500.00000000000006,1.1624851174300534,10.000001089619385
533.3333333333334,1.1624851186856713,10.000001189835936
566.6666666666667,1.162485119369152,10.0000013017405
600.0,1.1624851194111152,10.000001425588604
633.3333333333334,1.162485118770624,10.000001560767494
666.6666666666667,1.1624851174439665,10.000001705588481
700.0,1.1624851154733298,10.000001857111252
733.3333333333334,1.162485112955297,10.000002011007226
766.6666666666667,1.1624851100487228,10.000002161477306
800.0,1.1624851069813622,10.000002301197103
833.3333333333334,1.1624851040543611,10.000002421351107
866.6666666666667,1.1624851016439142,10.000002511756893
900.0000000000001,1.1624851001991474,10.000002561097684
933.3333333333334,1.1624851002352852,10.000002557281324
966.6666666666667,1.1624851023211966,10.000002487942965
1000.0000000000001,1.162485107060503,10.000002341097808
1033.3333333333335,1.1624851150655517,10.000002105949115
1066.6666666666667,1.1624851269238077,10.000001773847151
1100.0,1.1624851431565282,10.000001339384518
1133.3333333333335,1.1624851641699911,10.00000080160138
1166.6666666666667,1.1624851902000506,10.000000165261353
1200.0,1.1624852212513714,9.999999442143679
1233.3333333333335,1.1624852570333641,9.999998652282226
1266.6666666666667,1.1624852968955488,9.999997825066805
1300.0,1.1624853397658241,9.999997000107971
1333.3333333333335,1.1624853840958618,9.999996227754446
1366.6666666666667,1.162485427818527,9.999995569143366
1400.0,1.1624854683228278,9.999995095659342
1433.3333333333335,1.1624855024523248,9.999994887679957
1466.6666666666667,1.1624855265331417,9.99999503249434
1500.0,1.1624855364376612,9.999995621299115
