Method,h_mean (m),h_std (m),h_CV (%),h_error (%),Q_mean (m³/s),Q_std (m³/s),Q_CV (%),Q_error (%),Speed (step/s),Runtime (s)
EXPLICIT,0.8064831162705356,2.270292916833652e-08,2.8150532491396635e-06,7.320298606125133e-06,8.000000201243154,1.3174852170037645e-07,1.6468564798273816e-06,2.515539421210633e-06,974.3520906262964,1.2315876483917236
PREISSMANN,0.8064831343219531,2.230166089680464e-08,2.765297865225e-06,5.082010440345818e-06,8.000000551329869,3.7809449156609785e-07,4.726180818865642e-06,6.89162336087179e-06,880.6489118401845,1.3626315593719482
HLL,0.8064831331064785,2.139763767703101e-08,2.6532033713600207e-06,5.2327233934569365e-06,8.000000369683884,2.377523757301032e-07,2.9719045592931378e-06,4.621048543818063e-06,628.2474417510866,1.9100754261016846
